Sort Name,Co Fullname
"Beebe, Calvin",Mayo Clinic
"Berther, Matt","Healthwise, Inc."
"Blondel, Michel",Phast
"Burchett, Andrew Burchett",UHIN
"Cheung, James",Kaiser Permanente
"Cioffi, Chris","Anthem, Inc."
"Connor, Kathleen",U.S. Department of Veterans Affairs
"Corey, Chet",Duke Clinical & Translational Science Institute
"Crump, Jacob",
"Curcio, Paul",Elsevier
"Danford, Jeffrey",Allscripts
"Day, Durwin",Health Care Service Corporation
"de Jong, Alex",Elsevier
"Degandi, David",Cambia Health Solutions
"Del Fiol, Guilherme",University of Utah Health Care
"Dieterle, Robert C",EnableCare LLC
"Dixon, George",Allscripts
"Driesen, Gary",First Databank
"Egelkraut, Reinhard",HL7 Austria
"Egger, Oliver U",ahdis gmbh / HL7 Switzerland
"Engels, Brad",First Databank
"Farkas, Attila",HL7 Canada
"Feltner, Chuck",T-System Inc.
"Flessner, Benjamin D",Redox
"Francis, Joel",Canada Health Infoway
"Galvez, Jose",NIH/Department of Clinical Research Informatics
"Geimer, Rick",Lantana Consulting Group
"Gonzaga, Zabrina RN",Lantana Consulting Group
"Gordon, Andrew",Wolters Kluwer Health
"Graham, Carol D RN",Clinical Architecture LLC
"Haas, Eric M",Health eData Inc
"Hamlin, Ben",NCQA
"Haren, Patrick",
"Hausam, Robert",Hausam Consulting LLC
"Heckmann, Simone",HL7 Germany Voter #19
"Henkes, Matt",Cerner Corporation
"Hoggle, Lindsey MS RD PMP",Academy of Nutrition & Dietetics
"Hume, Sam Hume",CDISC
"Humpherys, Kristen",3M Health Information Systems
"hutton, michael",Qvera
"Iskander, Andrew",University of Utah Health Care
"Jennings, Donald",
"Johnson, Chris",Blue Cross and Blue Shield of Alabama
"Jones, Emma",Allscripts
"Jordan, Peter",HL7 New Zealand
"Kawamoto, Kensaku",University of Utah Health Care
"Knaap, Christiaan",Furore
"Kwon, Hwi Jun",
"Lang, Stefan",HL7 Germany
"Leftwich, Russell",InterSystems
"Lobato, Zach",Utah Health Information Network
"Maas, Julie",EMR Direct
"Macary, Francois",HL7 France
"Macumber, Caroline","Apelon, Inc."
"Maiers, Martin",National Marrow Donor Program
"Mankovich, Alexander",
"Marquard, Brett",River Rock Associates
"Martin, Ed",UCSF Center for Digital Health Innovation
"Mathew, Varghese",Epic
"McClure, Robert","MD Partners, Inc."
"McIlvenna, Sean P",
"Milius, Bob",National Marrow Donor Program
"Mintz, Sagy P",Allscripts
"Motulewicz, Michael",Cambia
"Muir, Sean",U.S. Department of Veterans Affairs
"Munini, Steven",Helios Software
"Muthukkannan, Rajarajan",Wolters Kluwer Health
"Nachimuthu, Senthil",3M Health Information Systems
"Nanjo, Claude",University of Utah Health Care
"Nelson, Dale",Accenture
"Nordo, Amy",Duke Clinical & Translational Science Institute
"Patterson, Dennis",Cerner Corporation
"Philips, Max",
"Plata, Zachary",Cerner Corporation
"Pollack, Jane",National Marrow Donor Program
"Potter, Jared",
"Power, Kevin",Cerner Corporation
"Prettyman, Jonathan",Cambia Health Solutions
"Reddy, Bhargava",UCB
"Reppen, Bertil",Apertura
"Ross, Ron",Clinical Architecture LLC
"Salyards, Kenneth",SAMHSA
"Sax, Robert",Stanson Health
"Scanlon, Robert",The MITRE Corporation
"Schneider, Joel",National Marrow Donor Program
"Schwertner, Nikolai",Boston Children's Hospital
"Shapiro, Ron",Qvera
"Sharma, Manoj",Allscripts
"Shekleton, Kevin",Cerner Corporation
"Simko, Matt",Stanson Health
"Smithies, Rik",HL7 UK
"Sreekanth, Anuj",Allscripts
"Strecker, Bradley",Cerner Corporation
"Syed, Jenni",Cerner Corporation
"Tatiyants, Alex A",Stanson Health
"Terry, May",Flatiron Health
"Thompson, Casey",Lantana Consulting Group
"Thompson, Cooper",Epic
"Vetter, Isaac",Epic
"Walonoski, Jason",The MITRE Corporation
"Wertheim, Rien",Furore
"Young, Josh",First Databank
"Zang, Dave",Allscripts
Sort Name,Co Fullname
"Behar, Eitan",Allscripts
"Farah, Rina",Accenture
"Kibbe, David",DirectTrust
"Linden, Greg",Linden Tech Advisors LLC
"McHugh, Gloria",Accenture
"Miller, Michelle",Cerner Corporation
,
